A_var,R1A1,R1A2,R1A3,R2A1,R2A2,R2A3,consensus,chosen,strengths
EDCURSO,V0329,V0329,V0329,V0329,V0329,V0329,6/6_UNANIMOUS,V0329,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
EDGRAU,V0325,V0325,V0325,V0325,V0325,V0325,6/6_UNANIMOUS,V0325,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
EDSABELE,V0323,V0323,V0323,V0323,V0323,V0323,6/6_UNANIMOUS,V0323,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
EDSERIE,V0324,V0324,V0324,V0324,V0324,V0324,6/6_UNANIMOUS,V0324,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
EDULGRAU,V0328,V0328,V0328,V0328,V0328,V0328,6/6_UNANIMOUS,V0328,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
EDULSERI,V0327,V0327,V0327,V0327,V0327,V0327,6/6_UNANIMOUS,V0327,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
EMPESTB,V0351,V0351,V0351,V0351,V0351,V0351,6/6_UNANIMOUS,V0351,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ESPECIE,V0201,V0201,V0201,V0201,V0201,V0201,6/6_UNANIMOUS,V0201,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ESPFAM,V2011,V2011,V2011,V2011,V2011,V2011,6/6_UNANIMOUS,V2011,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FILTRO,V0216,V0216,V0216,V0216,V0216,V0216,6/6_UNANIMOUS,V0216,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLDOMICH,V0335,V0337,V0335,V0335,V0335,V0335,5/6_MAJORITY,V0335,HIGH/LOW/HIGH/MED/HIGH/HIGH
FLDOMICM,V0336,V0338,V0336,V0336,V0336,V0336,5/6_MAJORITY,V0336,HIGH/LOW/HIGH/MED/HIGH/HIGH
FLMORTOH,V0339,V0339,V0339,V0339,V0339,V0339,6/6_UNANIMOUS,V0339,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLMORTOM,V0340,V0340,V0340,V0340,V0340,V0340,6/6_UNANIMOUS,V0340,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLNAMORH,V0341,V0341,V0341,V0341,V0341,V0341,6/6_UNANIMOUS,V0341,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLNAMORM,V0342,V0342,V0342,V0342,V0342,V0342,6/6_UNANIMOUS,V0342,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLNAMORT,V3357,V3357,V3357,V3357,V3357,V3357,6/6_UNANIMOUS,V3357,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLNAODOH,V0337,V0337,V0337,V0337,V0337,V0337,6/6_UNANIMOUS,V0337,HIGH/AMBIGUOUS/HIGH/HIGH/HIGH/HIGH
FLNAODOM,V0338,V0338,V0338,V0338,V0338,V0338,6/6_UNANIMOUS,V0338,HIGH/AMBIGUOUS/HIGH/HIGH/HIGH/HIGH
FLNAVIVH,V3355,V3355,V3355,V3355,V3355,V3355,6/6_UNANIMOUS,V3355,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLNAVIVM,V3356,V3356,V3356,V3356,V3356,V3356,6/6_UNANIMOUS,V3356,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLNAVIVT,V3354,V3354,V3354,V3354,V3354,V3354,6/6_UNANIMOUS,V3354,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLTIDOSH,V3352,V3352,V3352,V3352,V3352,V3352,6/6_UNANIMOUS,V3352,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLTIDOSM,V3353,V3353,V3353,V3353,V3353,V3353,6/6_UNANIMOUS,V3353,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLTIDOST,V3351,V3351,V3351,V3351,V3351,V3351,6/6_UNANIMOUS,V3351,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLVIVOSH,V3361,V3361,V3361,V3361,V3361,V3361,6/6_UNANIMOUS,V3361,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLVIVOSM,V3362,V3362,V3362,V3362,V3362,V3362,6/6_UNANIMOUS,V3362,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FLVIVOST,V3360,V3360,V3360,V3360,V3360,V3360,6/6_UNANIMOUS,V3360,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
FREEZER,V0225,V0225,V0225,V0225,V0225,V0225,6/6_UNANIMOUS,V0225,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
GELADEIR,V0222,V0222,V0222,V0222,V0222,V0222,6/6_UNANIMOUS,V0222,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
HOROUTR,V0355,V0355,V0355,V0355,V0355,V0355,6/6_UNANIMOUS,V0355,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
HORTRAB,V0354,V0354,V0354,V0354,V0354,V0354,6/6_UNANIMOUS,V0354,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
IDADEANO,V3072,V3072,V3072,V3072,V3072,V3072,6/6_UNANIMOUS,V3072,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
IDADEMES,V3073,V3073,V3073,V3073,V3073,V3073,6/6_UNANIMOUS,V3073,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
IDADETIP,V3071,V3071,V3071,V3071,V3071,V3071,6/6_UNANIMOUS,V3071,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ILUMINA,V0221,V0221,V0221,V0221,V0221,V0221,6/6_UNANIMOUS,V0221,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
LIXO,V0214,V0214,V0214,V0214,V0214,V0214,6/6_UNANIMOUS,V0214,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
LOCALIZA,V0202,V0202,V0202,V0202,V0202,V0202,6/6_UNANIMOUS,V0202,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
LOCTRAB,V0352,V0352,V0352,V0352,V0352,V0352,6/6_UNANIMOUS,V0352,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MAQLAVAR,V0226,V0226,V0226,V0226,V0226,V0226,6/6_UNANIMOUS,V0226,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MESONOM,(empty),(empty),(empty),(empty),(empty),(empty),6/6_UNANIMOUS,(empty),CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP
MESONUM,V7001,V7001,V7001,V7001,V7001,V7001,6/6_UNANIMOUS,V7001,HIGH/HIGH/MED/MED/HIGH/HIGH
METROP,V7003,V7003,V7003,V7003,V7003,V7003,6/6_UNANIMOUS,V7003,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MIANMOMU,V0318,V0318,V0318,V0318,V0318,V0318,6/6_UNANIMOUS,V0318,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MIANMOUF,V0317,V0317,V0317,V0317,V0317,V0317,6/6_UNANIMOUS,V0317,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MIANORES,V3152,V3152,V3152,V3152,V3152,V3152,6/6_UNANIMOUS,V3152,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MIANTEMU,V3191,V3191,V3191,V3191,V3191,V3191,6/6_UNANIMOUS,V3191,HIGH/MED/HIGH/HIGH/HIGH/HIGH
MIANTEUF,V0319,V0319,V0319,V0319,V0319,V0319,6/6_UNANIMOUS,V0319,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MIANTEZN,V0320,V0320,V0320,V0320,V0320,V0320,6/6_UNANIMOUS,V0320,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MICRONOM,(empty),(empty),(empty),(empty),(empty),(empty),6/6_UNANIMOUS,(empty),CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP
MICRONUM,V7002,V7002,V7002,V7002,V7002,V7002,6/6_UNANIMOUS,V7002,HIGH/HIGH/MED/MED/HIGH/HIGH
MIMO86MU,V3211,V3211,V3211,V3211,V3211,V3211,6/6_UNANIMOUS,V3211,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MIMO86UF,V0321,V0321,V0321,V0321,V0321,V0321,6/6_UNANIMOUS,V0321,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MIMO86ZN,V0322,V0322,V0322,V0322,V0322,V0322,6/6_UNANIMOUS,V0322,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MIMUMOZN,V0312,V0312,V0312,V0312,V0312,V0312,6/6_UNANIMOUS,V0312,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MINACION,V3151,V3151,V3151,V3151,V3151,V3151,6/6_UNANIMOUS,V3151,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MINASCMU,V0314,V0314,V0314,V0314,V0314,V0314,6/6_UNANIMOUS,V0314,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MIUFPAIS,V0316,V0316,V0316,V0316,V0316,V0316,6/6_UNANIMOUS,V0316,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
MIULTMUD,V0313,V0313,V0313,V0313,V0313,V0313,6/6_UNANIMOUS,V0313,HIGH/HIGH/MED/MED/HIGH/HIGH
MUNICNOM,(empty),(empty),(empty),(empty),(empty),(empty),6/6_UNANIMOUS,(empty),CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP
MUNICNUM,V1102,V1102,V1102,V1102,V1102,V1102,6/6_UNANIMOUS,V1102,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
NORDMAE,V3005,V3005,V3005,V3005,V3005,V3005,6/6_UNANIMOUS,V3005,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
NUMFAM,V0304,V0304,V0304,V0304,V0304,V0304,6/6_UNANIMOUS,V0304,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
OCUPACAO,V0346,V0346,V0346,V0346,V0346,V0346,6/6_UNANIMOUS,V0346,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
OCUPAGRP,V3461,V3461,V3461,V3461,V3461,V3461,6/6_UNANIMOUS,V3461,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
PAREDES,V0203,V0203,V0203,V0203,V0203,V0203,6/6_UNANIMOUS,V0203,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
PARENDOM,V0302,V0302,V0302,V0302,V0302,V0302,6/6_UNANIMOUS,V0302,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
PARENFAM,V0303,V0303,V0303,V0303,V0303,V0303,6/6_UNANIMOUS,V0303,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
PESO,V7300,V7300,V7300,V7300,V7300,V7300,6/6_UNANIMOUS,V7300,MED/HIGH/MED/MED/HIGH/HIGH
PESSOAN,V0098,V0098,V0098,V0098,V0098,V0098,6/6_UNANIMOUS,V0098,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
POSOCUP,V0349,V0349,V0349,V0349,V0349,V0349,6/6_UNANIMOUS,V0349,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RACACOR,V0309,V0309,V0309,V0309,V0309,V0309,6/6_UNANIMOUS,V0309,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RADIO,V0220,V0220,V0220,V0220,V0220,V0220,6/6_UNANIMOUS,V0220,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RAPOSENF,V3604,V3604,V3604,V3604,V3604,V3604,6/6_UNANIMOUS,V3604,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RAPOSENV,V0360,V0360,V0360,V0360,V0360,V0360,6/6_UNANIMOUS,V0360,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RDOMICIV,V2012,V2012,V2012,V2012,V2012,V2012,6/6_UNANIMOUS,V2012,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RDONOMIF,V2013,V2013,V2013,V2013,V2013,V2013,6/6_UNANIMOUS,V2013,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RDOREALF,V2014,V2014,V2014,V2014,V2014,V2014,6/6_UNANIMOUS,V2014,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RELIGIAO,V0310,V0310,V0310,V0310,V0310,V0310,6/6_UNANIMOUS,V0310,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RFACHCAF,V3044,V3044,V3044,V3044,V3044,V3044,6/6_UNANIMOUS,V3044,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RFACHCAV,V3043,V3043,V3043,V3043,V3043,V3043,6/6_UNANIMOUS,V3043,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RFAMILIV,V3045,V3045,V3045,V3045,V3045,V3045,6/6_UNANIMOUS,V3045,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RFANOMIF,V3046,V3046,V3046,V3046,V3046,V3046,6/6_UNANIMOUS,V3046,MED/MED/HIGH/MED/MED/HIGH
RFAPCAPF,V3049,V3049,V3049,V3049,V3049,V3049,6/6_UNANIMOUS,V3049,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RFAPCAPV,(empty),(empty),(empty),(empty),(empty),(empty),6/6_UNANIMOUS,(empty),CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP
RFAREALF,V3047,V3047,V3047,V3047,V3047,V3047,6/6_UNANIMOUS,V3047,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ROUTOCUF,V3574,V3574,V3574,V3574,V3574,V3574,6/6_UNANIMOUS,V3574,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ROUTOCUV,V0357,V0357,V0357,V0357,V0357,V0357,6/6_UNANIMOUS,V0357,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ROUTRENF,V3614,V3614,V3614,V3614,V3614,V3614,6/6_UNANIMOUS,V3614,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ROUTRENV,V0361,V0361,V0361,V0361,V0361,V0361,6/6_UNANIMOUS,V0361,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RPRINCIF,V3564,V3564,V3564,V3564,V3564,V3564,6/6_UNANIMOUS,V3564,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RPRINCIV,V0356,V0356,V0356,V0356,V0356,V0356,6/6_UNANIMOUS,V0356,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RTONOMIF,V3562,V3562,V3562,V3562,V3562,V3562,6/6_UNANIMOUS,V3562,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RTOREALF,V3563,V3563,V3563,V3563,V3563,V3563,6/6_UNANIMOUS,V3563,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
RTOTALPV,V3561,V3561,V3561,V3561,V3561,V3561,6/6_UNANIMOUS,V3561,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SANESCOA,V0206,V0206,V0206,V0206,V0206,V0206,6/6_UNANIMOUS,V0206,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SANUSO,V0207,V0207,V0207,V0207,V0207,V0207,6/6_UNANIMOUS,V0207,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SCATUAL,V3342,V3342,V3342,V3342,V3342,V3342,6/6_UNANIMOUS,V3342,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SCDURASC,V3341,V3341,V3341,V3341,V3341,V3341,6/6_UNANIMOUS,V3341,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SCID1UNI,V3311,V3311,V3311,V3311,V3311,V3311,6/6_UNANIMOUS,V3311,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SCIDISCA,V3312,V3312,V3312,V3312,V3312,V3312,6/6_UNANIMOUS,V3312,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SCNAOUNI,V0333,V0333,V0333,V0333,V0333,V0333,6/6_UNANIMOUS,V0333,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SCNATUNI,V0332,V0332,V0332,V0332,V0332,V0332,6/6_UNANIMOUS,V0332,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SCVIVCON,V0330,V0330,V0330,V0330,V0330,V0330,6/6_UNANIMOUS,V0330,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SEXO,V0301,V0301,V0301,V0301,V0301,V0301,6/6_UNANIMOUS,V0301,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SITDESO,V0358,V0358,V0358,V0358,V0358,V0358,6/6_UNANIMOUS,V0358,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
SITSET,V1061,V1061,V1061,V1061,V1061,V1061,6/6_UNANIMOUS,V1061,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
TELEFONE,V0217,V0217,V0217,V0217,V0217,V0217,6/6_UNANIMOUS,V0217,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
TRUL12M,V0345,V0345,V0345,V0345,V0345,V0345,6/6_UNANIMOUS,V0345,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
TVCORES,V0224,V0224,V0224,V0224,V0224,V0224,6/6_UNANIMOUS,V0224,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
TVPRETO,V0223,V0223,V0223,V0223,V0223,V0223,6/6_UNANIMOUS,V0223,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
UFNOM,(empty),(empty),(empty),(empty),(empty),(empty),6/6_UNANIMOUS,(empty),CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP/CANNOT_MAP
UFNUM,V1101,V1101,V1101,V1101,V1101,V1101,6/6_UNANIMOUS,V1101,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
UVIVIDAD,V3443,V3443,V3443,V3443,V3443,V3443,6/6_UNANIMOUS,V3443,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
UVIVIDTP,V3444,V3444,V3444,V3444,V3444,V3444,6/6_UNANIMOUS,V3444,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
UVIVSEXO,V0343,V0343,V0343,V0343,V0343,V0343,6/6_UNANIMOUS,V0343,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
