A_var,R1A1_vcode,R1A1_strength,R1A2_vcode,R1A2_strength,R1A3_vcode,R1A3_strength,consensus,chosen
LIXO,V0214,HIGH,V0214,HIGH,V0214,HIGH,UNANIMOUS,V0214
LOCALIZA,V0202,HIGH,V0202,HIGH,V0202,HIGH,UNANIMOUS,V0202
LOCTRAB,V0352,HIGH,V0352,HIGH,V0352,HIGH,UNANIMOUS,V0352
MAQLAVAR,V0226,HIGH,V0226,HIGH,V0226,HIGH,UNANIMOUS,V0226
MESONOM,,CANNOT_MAP,,CANNOT_MAP,,CANNOT_MAP,UNANIMOUS,(empty)
MESONUM,V7001,HIGH,V7001,HIGH,V7001,MED,UNANIMOUS,V7001
METROP,V7003,HIGH,V7003,HIGH,V7003,HIGH,UNANIMOUS,V7003
MIANMOMU,V0318,HIGH,V0318,HIGH,V0318,HIGH,UNANIMOUS,V0318
MIANMOUF,V0317,HIGH,V0317,HIGH,V0317,HIGH,UNANIMOUS,V0317
MIANORES,V3152,HIGH,V3152,HIGH,V3152,HIGH,UNANIMOUS,V3152
MIANTEMU,V3191,HIGH,V3191,MED,V3191,HIGH,UNANIMOUS,V3191
MIANTEUF,V0319,HIGH,V0319,HIGH,V0319,HIGH,UNANIMOUS,V0319
MIANTEZN,V0320,HIGH,V0320,HIGH,V0320,HIGH,UNANIMOUS,V0320
MICRONOM,,CANNOT_MAP,,CANNOT_MAP,,CANNOT_MAP,UNANIMOUS,(empty)
MICRONUM,V7002,HIGH,V7002,HIGH,V7002,MED,UNANIMOUS,V7002
MIMO86MU,V3211,HIGH,V3211,HIGH,V3211,HIGH,UNANIMOUS,V3211
MIMO86UF,V0321,HIGH,V0321,HIGH,V0321,HIGH,UNANIMOUS,V0321
MIMO86ZN,V0322,HIGH,V0322,HIGH,V0322,HIGH,UNANIMOUS,V0322
MIMUMOZN,V0312,HIGH,V0312,HIGH,V0312,HIGH,UNANIMOUS,V0312
MINACION,V3151,HIGH,V3151,HIGH,V3151,HIGH,UNANIMOUS,V3151
MINASCMU,V0314,HIGH,V0314,HIGH,V0314,HIGH,UNANIMOUS,V0314
MIUFPAIS,V0316,HIGH,V0316,HIGH,V0316,HIGH,UNANIMOUS,V0316
MIULTMUD,V0313,HIGH,V0313,HIGH,V0313,MED,UNANIMOUS,V0313
MUNICNOM,,CANNOT_MAP,,CANNOT_MAP,,CANNOT_MAP,UNANIMOUS,(empty)
MUNICNUM,V1102,HIGH,V1102,HIGH,V1102,HIGH,UNANIMOUS,V1102
NORDMAE,V3005,HIGH,V3005,HIGH,V3005,HIGH,UNANIMOUS,V3005
NUMFAM,V0304,HIGH,V0304,HIGH,V0304,HIGH,UNANIMOUS,V0304
OCUPACAO,V0346,HIGH,V0346,HIGH,V0346,HIGH,UNANIMOUS,V0346
OCUPAGRP,V3461,HIGH,V3461,HIGH,V3461,HIGH,UNANIMOUS,V3461
PAREDES,V0203,HIGH,V0203,HIGH,V0203,HIGH,UNANIMOUS,V0203
PARENDOM,V0302,HIGH,V0302,HIGH,V0302,HIGH,UNANIMOUS,V0302
PARENFAM,V0303,HIGH,V0303,HIGH,V0303,HIGH,UNANIMOUS,V0303
PESO,V7300,MED,V7300,HIGH,V7300,MED,UNANIMOUS,V7300
PESSOAN,V0098,HIGH,V0098,HIGH,V0098,HIGH,UNANIMOUS,V0098
POSOCUP,V0349,HIGH,V0349,HIGH,V0349,HIGH,UNANIMOUS,V0349
RACACOR,V0309,HIGH,V0309,HIGH,V0309,HIGH,UNANIMOUS,V0309
RADIO,V0220,HIGH,V0220,HIGH,V0220,HIGH,UNANIMOUS,V0220
RAPOSENF,V3604,HIGH,V3604,HIGH,V3604,HIGH,UNANIMOUS,V3604
RAPOSENV,V0360,HIGH,V0360,HIGH,V0360,HIGH,UNANIMOUS,V0360
RDOMICIV,V2012,HIGH,V2012,HIGH,V2012,HIGH,UNANIMOUS,V2012
RDONOMIF,V2013,HIGH,V2013,HIGH,V2013,HIGH,UNANIMOUS,V2013
RDOREALF,V2014,HIGH,V2014,HIGH,V2014,HIGH,UNANIMOUS,V2014
RELIGIAO,V0310,HIGH,V0310,HIGH,V0310,HIGH,UNANIMOUS,V0310
RFACHCAF,V3044,HIGH,V3044,HIGH,V3044,HIGH,UNANIMOUS,V3044
RFACHCAV,V3043,HIGH,V3043,HIGH,V3043,HIGH,UNANIMOUS,V3043
RFAMILIV,V3045,HIGH,V3045,HIGH,V3045,HIGH,UNANIMOUS,V3045
RFANOMIF,V3046,MED,V3046,MED,V3046,HIGH,UNANIMOUS,V3046
RFAPCAPF,V3049,HIGH,V3049,HIGH,V3049,HIGH,UNANIMOUS,V3049
RFAPCAPV,,CANNOT_MAP,,CANNOT_MAP,,CANNOT_MAP,UNANIMOUS,(empty)
RFAREALF,V3047,HIGH,V3047,HIGH,V3047,HIGH,UNANIMOUS,V3047
ROUTOCUF,V3574,HIGH,V3574,HIGH,V3574,HIGH,UNANIMOUS,V3574
ROUTOCUV,V0357,HIGH,V0357,HIGH,V0357,HIGH,UNANIMOUS,V0357
ROUTRENF,V3614,HIGH,V3614,HIGH,V3614,HIGH,UNANIMOUS,V3614
ROUTRENV,V0361,HIGH,V0361,HIGH,V0361,HIGH,UNANIMOUS,V0361
RPRINCIF,V3564,HIGH,V3564,HIGH,V3564,HIGH,UNANIMOUS,V3564
RPRINCIV,V0356,HIGH,V0356,HIGH,V0356,HIGH,UNANIMOUS,V0356
RTONOMIF,V3562,HIGH,V3562,HIGH,V3562,HIGH,UNANIMOUS,V3562
RTOREALF,V3563,HIGH,V3563,HIGH,V3563,HIGH,UNANIMOUS,V3563
RTOTALPV,V3561,HIGH,V3561,HIGH,V3561,HIGH,UNANIMOUS,V3561
SANESCOA,V0206,HIGH,V0206,HIGH,V0206,HIGH,UNANIMOUS,V0206
SANUSO,V0207,HIGH,V0207,HIGH,V0207,HIGH,UNANIMOUS,V0207
SCATUAL,V3342,HIGH,V3342,HIGH,V3342,HIGH,UNANIMOUS,V3342
SCDURASC,V3341,HIGH,V3341,HIGH,V3341,HIGH,UNANIMOUS,V3341
SCID1UNI,V3311,HIGH,V3311,HIGH,V3311,HIGH,UNANIMOUS,V3311
SCIDISCA,V3312,HIGH,V3312,HIGH,V3312,HIGH,UNANIMOUS,V3312
SCNAOUNI,V0333,HIGH,V0333,HIGH,V0333,HIGH,UNANIMOUS,V0333
SCNATUNI,V0332,HIGH,V0332,HIGH,V0332,HIGH,UNANIMOUS,V0332
SCVIVCON,V0330,HIGH,V0330,HIGH,V0330,HIGH,UNANIMOUS,V0330
SEXO,V0301,HIGH,V0301,HIGH,V0301,HIGH,UNANIMOUS,V0301
SITDESO,V0358,HIGH,V0358,HIGH,V0358,HIGH,UNANIMOUS,V0358
SITSET,V1061,HIGH,V1061,HIGH,V1061,HIGH,UNANIMOUS,V1061
TELEFONE,V0217,HIGH,V0217,HIGH,V0217,HIGH,UNANIMOUS,V0217
TRUL12M,V0345,HIGH,V0345,HIGH,V0345,HIGH,UNANIMOUS,V0345
TVCORES,V0224,HIGH,V0224,HIGH,V0224,HIGH,UNANIMOUS,V0224
TVPRETO,V0223,HIGH,V0223,HIGH,V0223,HIGH,UNANIMOUS,V0223
UFNOM,,CANNOT_MAP,,CANNOT_MAP,,CANNOT_MAP,UNANIMOUS,(empty)
UFNUM,V1101,HIGH,V1101,HIGH,V1101,HIGH,UNANIMOUS,V1101
UVIVIDAD,V3443,HIGH,V3443,HIGH,V3443,HIGH,UNANIMOUS,V3443
UVIVIDTP,V3444,HIGH,V3444,HIGH,V3444,HIGH,UNANIMOUS,V3444
UVIVSEXO,V0343,HIGH,V0343,HIGH,V0343,HIGH,UNANIMOUS,V0343
