A_var,A_org_id,A_descricao,proposed_vcode,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,evidence_strength,notes
RADIO,9.28,Radio,V0220,V0220,Rádio,V0220,Rádio,Y,Y,HIGH,"0/1 batem."
RDOMICIV,9.29,Renda domiciliar,V2012,V2012,Rendimento Nominal Médio Mensal Domiciliar,V2012,Rendimento Nominal Médio Mensal Domiciliar,Y,Y,HIGH,"Numérico."
RDONOMIF,9.30,Faixa renda dom nominal,V2013,V2013,Faixas de Rendimento Nominal Médio Mensal Domiciliar,V2013,Faixas de Rendimento Nominal Médio Mensal Domiciliar,Y,Y,HIGH,"13 faixas (1/4, 1/2, 1, 2, 3, 5, 10, 15, 20, 30 SM + sem rend + sem decl) batem."
RDOREALF,9.31,Faixa renda dom real,V2014,V2014,Faixas de Rendimento Real Médio Mensal Domiciliar,V2014,Faixas de Rendimento Real Médio Mensal Domiciliar,Y,Y,HIGH,"13 faixas reais batem."
SANESCOA,9.32,Instalacao Sanit. - Escoadouro,V0206,V0206,Instalação Sanitária,V0206,Instalação Sanitária,Y,Y,HIGH,"0-7 (Não tem, Rede geral, Fossa séptica..., Vala negra, Outro, Não sabe) batem."
SANUSO,9.33,Inst Sanit - Uso,V0207,V0207,Uso da Instalação Sanitária,V0207,Uso da Instalação Sanitária,Y,Y,HIGH,"0-2 (Não tem, Só do dom, Comum) batem."
TELEFONE,9.34,Telefone,V0217,V0217,Telefone,V0217,Telefone,Y,Y,HIGH,"0/1/2 batem."
TVCORES,9.35,Televisao em cores,V0224,V0224,Televisão em Cores,V0224,Televisão em Cores,Y,Y,HIGH,"0-3 (Não tem, 1, 2, 3+) batem."
TVPRETO,9.36,Televisao em preto e branco,V0223,V0223,Televisão Preto e Branco,V0223,Televisão Preto e Branco,Y,Y,HIGH,"0/1 batem."
ESPFAM,10.1,Especie de familia,V2011,V2011,Espécie de Família,V2011,Espécie de Família,Y,N,HIGH,"4 categorias (Nuclear, Estendida, Composta, Unipessoal) batem."
NUMFAM,10.2,Familia a que pertence,V0304,V0304,Tipo de Família,V0304,Tipo de Família,Y,N,HIGH,"7 categorias (Única, Domicílio Coletivo, 1ª-5ª família convivente) batem."
RFACHCAF,10.3,Faixa renda casal nominal,V3044,V3044,Faixas de Renda do Casal,V3044,Faixas de Renda do Casal,Y,N,HIGH,"15 faixas finas (1/4, 1/2, 3/4, 1, 1 1/4, 1 1/2, 2, 3, 5, 10, 15, 20+, sem rend, sem decl) batem."
RFACHCAV,10.4,Renda casal,V3043,V3043,Renda do Casal,V3043,Renda do Casal,Y,N,HIGH,"Numérico."
RFAMILIV,10.5,Renda familiar,V3045,V3045,Rendimento Nominal Médio Mensal Familiar,V3045,Rendimento Nominal Médio Mensal Familiar,Y,N,HIGH,"Numérico."
RFANOMIF,10.6,Faixa renda familiar nominal,V3046,V3046,Faixas de Rendimento Nominal Médio Mensal Familiar,V3046,Faixas de Rendimento Nominal Médio Mensal Familiar,Y,N,MED,"Descrição+v050 confirmam V3046. A traz lista categorias com 15 buckets finos (incluindo 3/4 SM) que de fato divergem das 13 faixas grosseiras de V3046 em B/C — provável transcrição replicada de RFACHCAF na fonte A. V-code permanece V3046 pela descrição."
RFAPCAPF,10.7,Faixa renda per capita nominal,V3049,V3049,Faixas de Rendimento Nominal Médio Mensal Familiar Per Capita,V3049,Faixas de Rendimento Nominal Médio Mensal Familiar Per Capita,Y,N,HIGH,"14 faixas (1/8, 1/4, 1/2, 3/4, 1, 1 1/4, 1 1/2, 2, 3, 5, 10+, sem rend, sem decl) batem."
RFAPCAPV,10.8,Renda familiar per capita,,,,,,N,N,CANNOT_MAP,"Valor REAL per capita; B/C só têm faixas V3049 — nenhum V-code para valor numérico per capita. v050 também não expõe. Provável variável derivada nova IBGE 2025 (calcula RFAMILIV/n pessoas)."
RFAREALF,10.9,Faixa renda familiar real,V3047,V3047,Faixas de Rendimento Real Médio Mensal Familiar,V3047,Faixas de Rendimento Real Médio Mensal Familiar,Y,N,HIGH,"13 faixas reais batem."
APOPENS,11.1,Aposentado e/ou pensionista,V0359,V0359,Aposentado ou Pensionista,V0359,Aposentado ou Pensionista,Y,N,HIGH,"0=Não é, 1=Aposentado, 2=Pensionista, 3=Ambos batem."
ATIVIDAD,11.2,Codigo da Atividade,V0347,V0347,Código da Atividade,V0347,Código da Atividade,Y,N,HIGH,"Código de atividade — refere-se a atividade_1991.xls."
ATIVISET,11.3,Setor de atividade,V3471,V3471,Setor de Atividade,V3471,Setor de Atividade,Y,N,HIGH,"11 categorias (Agropec, Ind transf, Const, Outras ind, Comércio, Transp, Serv aux, Prest serv, Social, Adm pública, Outras) batem."
CARTASS,11.4,Tem carteira trab. assinada,V0350,V0350,Posse de Carteira de Trabalho Assinada,V0350,Posse de Carteira de Trabalho Assinada,Y,N,HIGH,"1=Sim, 2=Não sabe, 3=Não tem, 4=Não empregado batem."
CONPREV,11.5,Contribuinte previdencia,V0353,V0353,Contribuição para Instituto de Previdência Pública,V0353,Contribuição para Instituto de Previdência Pública,Y,N,HIGH,"1=Sim, 2=Não sabe, 3=Não é batem."
DEFICIE,11.6,Deficiencia,V0311,V0311,Deficiência Física ou Mental,V0311,Deficiência Física ou Mental,Y,N,HIGH,"0-9 (Nenhuma, Cegueira, Surdez, Paralisias, Falta membro, Mental, Mais de uma, Ignorado) batem."
EDANOEST,11.7,Anos de estudo,V3241,V3241,Anos de Estudo,V3241,Anos de Estudo,Y,N,HIGH,"0=sem instrução, 17=17 ou mais, 20=não determinado, 30=alfabetização adultos batem."
EDCURSNS,11.8,Curso nao seriado,V0326,V0326,Grau que freqüenta em curso não seriado,V0326,Grau que freqüenta em curso não seriado,Y,N,HIGH,"7 categorias (Pré-escolar, Alfa adultos, Supletivo 1G/2G, Pré-vest, Mestr/Dout) batem."
EDCURSO,11.9,Curso concluido,V0329,V0329,Curso Concluído,V0329,Curso Concluído,Y,N,HIGH,"~97 códigos de curso batem."
EDGRAU,11.10,Grau que frequenta,V0325,V0325,Grau que freqüenta em curso seriado,V0325,Grau que freqüenta em curso seriado,Y,N,HIGH,"6 categorias (Nenhum, 1ºG, 2ºG, Superior, Supletivo 1ºG, Supletivo 2ºG) batem."
EDSABELE,11.11,Sabe ler escrever,V0323,V0323,Alfabetização,V0323,Alfabetização,Y,N,HIGH,"1=Sabe, 2=Não sabe batem."
EDSERIE,11.12,Serie que frequenta,V0324,V0324,Série que freqüenta,V0324,Série que freqüenta,Y,N,HIGH,"0-8 séries batem."
EDULGRAU,11.13,Grau da ultima serie,V0328,V0328,Grau da última série concluída com aprovação,V0328,Grau da última série concluída com aprovação,Y,N,HIGH,"9 categorias (Alfa adultos, Primário, Ginasial, 1ºG, 2ºG, Colegial, Superior, Mestr/Dout) batem."
EDULSERI,11.14,Ultima serie concluida,V0327,V0327,Última série concluída com aprovação,V0327,Última série concluída com aprovação,Y,N,HIGH,"0-9 (Nenhuma, 1ª-8ª série, nunca freq) batem."
EMPESTB,11.15,Num. empregados estabelecimento,V0351,V0351,"Número de Empregados no Estabelecimento, Negócio, Instituição, etc.",V0351,"Número de Empregados no Estabelecimento, Negócio, Instituição, etc.",Y,N,HIGH,"8 categorias batem; A.7=Afazeres domésticos vs B/C.7=Trabalhador doméstico — divergência de rótulo, mesmo código."
FLDOMICH,11.16,Filhos moram domicilio - homem,V0335,V0335,Filhos Tidos que moram no domicílio,V0335,Filhos Tidos que moram no domicílio,Y,N,MED,"Descrição A 'moram domicilio' (= IN domicilio) bate exatamente V0335 'Filhos Tidos que moram no domicílio'. V0335/V0336 não estão explicitamente marcados como 'Homens'/'Mulheres' nos labels B/C, mas a posição na tabela (V0335 antes de V0336, paralelo ao padrão V0337/V0338 onde H/M é explícito) e o sufixo H/M no nome A confirmam o pareamento sex-split. Distinguindo de FLNAODOH/FLNAODOM (=V0337/V0338 'em outro domicílio'). MED ao invés de HIGH porque B/C não rotulam V0335/V0336 com H/M explícito."
FLDOMICM,11.17,Filhas moram domicilio -mulher,V0336,V0336,Filhas Tidas que moram no domicílio,V0336,Filhas Tidas que moram no domicílio,Y,N,MED,"Análogo a FLDOMICH; V0336 é a contraparte feminina (Filhas no dom)."
FLMORTOH,11.18,Filhos mortos - homem,V0339,V0339,Filhos Tidos Nascidos Vivos que já morreram (Homens),V0339,Filhos Tidos Nascidos Vivos que já morreram (Homens),Y,N,HIGH,"Filhos H que já morreram."
FLMORTOM,11.19,Filhas mortas - mulher,V0340,V0340,Filhas Tidas Nascidas Vivas que já morreram (Mulheres),V0340,Filhas Tidas Nascidas Vivas que já morreram (Mulheres),Y,N,HIGH,"Filhas M que já morreram."
FLNAMORH,11.20,Filhos nascidos mortos - homem,V0341,V0341,Filhos Tidos Nascidos Mortos (Homens),V0341,Filhos Tidos Nascidos Mortos (Homens),Y,N,HIGH,"Natimortos H."
FLNAMORM,11.21,Filhas nascidas mortas - mulher,V0342,V0342,Filhas Tidas Nascidas Mortas (Mulheres),V0342,Filhas Tidas Nascidas Mortas (Mulheres),Y,N,HIGH,"Natimortas M."
FLNAMORT,11.22,Total filhos nascidos mortos,V3357,V3357,Total de Filhos(as) Tidos(as) Nascidos(as) Mortos(as),V3357,Total de Filhos(as) Tidos(as) Nascidos(as) Mortos(as),Y,N,HIGH,"Total natimortos."
FLNAODOH,11.23,Filhos nao moram domicilio,V0337,V0337,Filhos Tidos que moram em outro domicílio (Homens),V0337,Filhos Tidos que moram em outro domicílio (Homens),Y,N,HIGH,"'não moram (neste) domicilio' = 'moram em OUTRO domicílio' = V0337. Confirma o pareamento FLDOMICH=V0335 vs FLNAODOH=V0337."
FLNAODOM,11.24,Filhas nao moram domicilio,V0338,V0338,Filhas Tidas que moram em outro domicílio (Mulheres),V0338,Filhas Tidas que moram em outro domicílio (Mulheres),Y,N,HIGH,"Análogo a FLNAODOH para Filhas."
FLNAVIVH,11.25,Filhos nascidos vivos - homem,V3355,V3355,Número de Filhos Tidos Nascidos Vivos(Homens),V3355,Número de Filhos Tidos Nascidos Vivos(Homens),Y,N,HIGH,"Filhos H nascidos vivos."
FLNAVIVM,11.26,Filhas nascidas vivas - mulher,V3356,V3356,Número de Filhas Tidas Nascidas Vivas (Mulheres),V3356,Número de Filhas Tidas Nascidas Vivas (Mulheres),Y,N,HIGH,"Filhas M nascidas vivas."
FLNAVIVT,11.27,Total filhos nascidos vivos,V3354,V3354,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),V3354,Total de Filhos(as) Tidos(as) Nascidos(as) Vivos(as),Y,N,HIGH,"Total nascidos vivos."
FLTIDOSH,11.28,Filhos tidos - homem,V3352,V3352,Número de Filhos Tidos (Homens),V3352,Número de Filhos Tidos (Homens),Y,N,HIGH,"Filhos H tidos (total)."
FLTIDOSM,11.29,Filhas tidas - mulher,V3353,V3353,Número de Filhos Tidos (Mulheres),V3353,Número de Filhos Tidos (Mulheres),Y,N,HIGH,"Filhas M tidas. Nota: B/C rotulam V3353 como 'Número de Filhos Tidos (Mulheres)' (typo IBGE — deveria ser 'Filhas Tidas')."
FLTIDOST,11.30,Total filhos tidos,V3351,V3351,Total de Filhos(as) Tidos(as),V3351,Total de Filhos(as) Tidos(as),Y,N,HIGH,"Total tidos."
FLVIVOSH,11.31,Filhos vivos - homem,V3361,V3361,Número de Filhos Vivos (Homens),V3361,Número de Filhos Vivos (Homens),Y,N,HIGH,"Filhos H vivos."
FLVIVOSM,11.32,Filhas vivas - mulher,V3362,V3362,Número de Filhas Vivas (Mulheres),V3362,Número de Filhas Vivas (Mulheres),Y,N,HIGH,"Filhas M vivas."
FLVIVOST,11.33,Total filhos vivos,V3360,V3360,Total de Filhos(as) Vivos(as),V3360,Total de Filhos(as) Vivos(as),Y,N,HIGH,"Total filhos vivos."
HOROUTR,11.34,Horas trabalhadas em outras ocupacões,V0355,V0355,Horas Trabalhadas em Outras Ocupações,V0355,Horas Trabalhadas em Outras Ocupações,Y,N,HIGH,"Numérico."
HORTRAB,11.35,Horas trabalhadas ocupacao Q346,V0354,V0354,Horas Trabalhadas por Semana na Ocupação Principal,V0354,Horas Trabalhadas por Semana na Ocupação Principal,Y,N,HIGH,"'Q346' = Quesito 346 = ocupação principal (V0346); V0354 são as horas semanais da principal."
IDADEANO,11.36,Idade em anos,V3072,V3072,Idade (em anos completos),V3072,Idade (em anos completos),Y,N,HIGH,"Numérico."
IDADEMES,11.37,Idade em meses,V3073,V3073,Idade (em meses completos),V3073,Idade (em meses completos),Y,N,HIGH,"0=menos 1 mês, 12=idade em anos batem."
IDADETIP,11.38,Tipo de idade,V3071,V3071,Tipo de Idade,V3071,Tipo de Idade,Y,N,HIGH,"1=Presumida, 2=Declarada batem."
LOCTRAB,11.39,Local de trabalho,V0352,V0352,Local de Trabalho,V0352,Local de Trabalho,Y,N,HIGH,"8 categorias (No domicílio s/excl, c/excl, Via pública pesado/leve, Propriedade agropec, Empresa, Cliente/patrão, Outro) batem."
MIANMOMU,11.40,Anos que mora no municipio,V0318,V0318,Anos em que mora no Município,V0318,Anos em que mora no Município,Y,N,HIGH,"Numérico."
MIANMOUF,11.41,Anos que mora na UF,V0317,V0317,Anos em que mora na Unidade da Federação,V0317,Anos em que mora na Unidade da Federação,Y,N,HIGH,"Numérico."
MIANORES,11.42,Ano fixou residencia,V3152,V3152,Ano que fixou residência no País,V3152,Ano que fixou residência no País,Y,N,HIGH,"Numérico — ano. A.0=brasileiro/estr<1 bate B/C.00."
MIANTEMU,11.43,Municipio moradia anterior,V3191,V3191,Município ou País Estrangeiro em que morava em 01/09/1986 (declarado no quesito 319),V3191,Município ou País Estrangeiro em que morava em 01/09/1986 (declarado no quesito 319),Y,N,HIGH,"Quesito 319 (V0319) = morava antes; V3191 é o município pareado. A.MIANTEUF=V0319 confirma o pareamento."
MIANTEUF,11.44,Lugar de moradia anterior,V0319,V0319,Unidade da Federação e Município ou País Estrangeiro que morava antes,V0319,Unidade da Federação e Município ou País Estrangeiro que morava antes,Y,N,HIGH,"Códigos UF 11-53 + 54 + 80 + 99 batem."
MIANTEZN,11.45,Zona moradia anterior,V0320,V0320,Situação do Domicílio de Residência Anterior (declarado no quesito 319),V0320,Situação do Domicílio de Residência Anterior (declarado no quesito 319),Y,N,HIGH,"1=Urbana, 2=Rural, 9=Ignorada batem."
MIMO86MU,11.46,Municipio moradia em 86,V3211,V3211,Município ou País Estrangeiro de residência em 01/09/1986 (declarado no quesito 321),V3211,Município ou País Estrangeiro de residência em 01/09/1986 (declarado no quesito 321),Y,N,HIGH,"V3211 par com V0321 (quesito 321)."
MIMO86UF,11.47,Lugar de moradia em 01/09/86,V0321,V0321,Unidade da Federação e Município ou País Estrangeiro em que morava em 01/09/1986,V0321,Unidade da Federação e Município ou País Estrangeiro em que morava em 01/09/1986,Y,N,HIGH,"Códigos UF + 54 + 70=neste municipio + 80 + 99 batem."
MIMO86ZN,11.48,Zona de moradia em 86,V0322,V0322,Situação do Domicílio de Residência em 01/09/86 (declarado no quesito 321),V0322,Situação do Domicílio de Residência em 01/09/86 (declarado no quesito 321),Y,N,HIGH,"1=Urbana, 2=Rural, 9=Ignorada batem."
MIMUMOZN,11.49,Zona que morou neste municipio,V0312,V0312,Morou neste Município,V0312,Morou neste Município,Y,N,HIGH,"1=Só urbana, 2=Só rural, 3=Urbana e rural batem."
MINACION,11.50,Nacionalidade,V3151,V3151,Nacionalidade,V3151,Nacionalidade,Y,N,HIGH,"1=Brasileiro nato, 2=Naturalizado, 3=Estrangeiro batem."
MINASCMU,11.51,Nasceu neste municipio,V0314,V0314,Nasceu neste Município,V0314,Nasceu neste Município,Y,N,HIGH,"1=Sim sempre morou, 2=Sim mas morou outro, 3=Não nasceu batem."
MIUFPAIS,11.52,UF/Pais de nascimento,V0316,V0316,Unidade da Federação ou País Estrangeiro de Nascimento,V0316,Unidade da Federação ou País Estrangeiro de Nascimento,Y,N,HIGH,"Códigos UF 1-27 + 29 Brasil n/esp + 30-99 países batem. A tem typo '15=SE, 16=SE' duplicado vs B/C correto 15=Sergipe, 16=Bahia — typo de transcrição não afeta V-code."
MIULTMUD,11.53,Ultima mudanca,V0313,V0313,Anos de Moradia na Situação do Domicílio,V0313,Anos de Moradia na Situação do Domicílio,Y,N,MED,"A 'Última mudança' com 0=menos 1 ano, 98=Nunca mudou bate '00=menos 1 ano, 98=nunca mudou' do V0313. Descrição A é mais curta mas semanticamente equivalente — anos morando na atual situação = tempo desde a última mudança."
NORDMAE,11.54,Numero de ordem da mae,V3005,V3005,Número de Ordem da Mãe,V3005,Número de Ordem da Mãe,Y,N,HIGH,"70=viva n/reside, 80=falecida, 90=não sabe, 99=ignorado batem."
OCUPACAO,11.55,Ocupacao principal,V0346,V0346,Código da Ocupação,V0346,Código da Ocupação,Y,N,HIGH,"Código de ocupação principal — refere-se a ocupacao_1991.xls."
OCUPAGRP,11.56,Grupo ocupacao principal,V3461,V3461,Grupo de Ocupação,V3461,Grupo de Ocupação,Y,N,HIGH,"10 grupos (Administrativas, Téc/Cient/Art, Agropec, Extr Mineral, Ind transf, Comércio, Transp, Prest serv, Defesa, Outras) batem."
PARENDOM,11.57,Parentesco com o do chefe domicilio,V0302,V0302,Condição no Domicílio,V0302,Condição no Domicílio,Y,N,HIGH,"17 categorias (Chefe ... Parente do empregado dom + Individual=20) batem."
PARENFAM,11.58,Parentesco com o chefe da familia,V0303,V0303,Condição na Família,V0303,Condição na Família,Y,N,HIGH,"15 categorias família-level (sem 16=Parente empregado dom; com Individual=20) batem."
PESSOAN,11.59,Numero de ordem,V0098,V0098,Ordem da Pessoa,V0098,Ordem da Pessoa,Y,Y,HIGH,"Numérico — número de ordem da pessoa no domicílio."
POSOCUP,11.60,Posicao da ocupacao,V0349,V0349,Posição na Ocupação,V0349,Posição na Ocupação,Y,N,HIGH,"11 categorias (Trab agric volante, Parceiro, Doméstico, Empregado priv/púb, Autônomo, Empregador, Sem rem) batem."
RACACOR,11.61,Raca ou cor,V0309,V0309,Raça ou Cor,V0309,Raça ou Cor,Y,N,HIGH,"1=Branca, 2=Preta, 3=Amarela, 4=Parda, 5=Indígena, 9=Ignorada batem."
RAPOSENF,11.62,Faixa de rend aposent/pensionista,V3604,V3604,Faixas de Rendimento de Aposentadoria e/ou Pensão,V3604,Faixas de Rendimento de Aposentadoria e/ou Pensão,Y,N,HIGH,"15 faixas finas batem."
RAPOSENV,11.63,Valor rend aposent/pensionista,V0360,V0360,Rendimento Bruto de Aposentadoria e/ou Pensão,V0360,Rendimento Bruto de Aposentadoria e/ou Pensão,Y,N,HIGH,"Numérico."
RELIGIAO,11.64,Codigo da religiao,V0310,V0310,Religião,V0310,Religião,Y,N,HIGH,"~50 categorias (Católica, Evangélica Tradicional/Pentecostal, Neo-Cristã, Mediúnica, Judaica, Oriental, Outras, sem decl) batem."
ROUTOCUF,11.65,Faixa renda outras ocupacoes,V3574,V3574,Faixas de Rendimento de Outras Ocupações,V3574,Faixas de Rendimento de Outras Ocupações,Y,N,HIGH,"15 faixas finas batem."
ROUTOCUV,11.66,Rend bruto outras ocupacoes,V0357,V0357,Rendimento Bruto de Outras Ocupações,V0357,Rendimento Bruto de Outras Ocupações,Y,N,HIGH,"Numérico."
ROUTRENF,11.67,Faixa outros rendimentos,V3614,V3614,Faixas de Outros Rendimentos,V3614,Faixas de Outros Rendimentos,Y,N,HIGH,"15 faixas batem."
ROUTRENV,11.68,Valor outros rendimentos,V0361,V0361,Rendimento Bruto ou Média Mensal de Outros Rendimentos,V0361,Rendimento Bruto ou Média Mensal de Outros Rendimentos,Y,N,HIGH,"Numérico."
RPRINCIF,11.69,Faixa renda ocupação principal,V3564,V3564,Faixas de Rendimento da Ocupação Principal,V3564,Faixas de Rendimento da Ocupação Principal,Y,N,HIGH,"15 faixas finas batem."
RPRINCIV,11.70,Rendimento bruto ocupacao principal,V0356,V0356,Rendimento Bruto da Ocupação Principal,V0356,Rendimento Bruto da Ocupação Principal,Y,N,HIGH,"Numérico."
RTONOMIF,11.71,Faixa renda total nominal,V3562,V3562,Faixas de Rendimento Nominal Total,V3562,Faixas de Rendimento Nominal Total,Y,N,HIGH,"15 faixas finas batem."
RTOREALF,11.72,Faixa renda real pessoal,V3563,V3563,Faixas de Rendimento Real Total,V3563,Faixas de Rendimento Real Total,Y,N,HIGH,"15 faixas reais batem; 'real pessoal' = real total da pessoa."
