A_var,R1A1,R1A2,R1A3,R2A1,R2A2,R2A3,R3A1,R3A2,R3A3,consensus,chosen
FLMORTOH,V0339,V0339,V0339,V0339,V0339,V0339,V0339,V0339,V0339,9/9_UNANIMOUS,V0339
FLMORTOM,V0340,V0340,V0340,V0340,V0340,V0340,V0340,V0340,V0340,9/9_UNANIMOUS,V0340
FLNAMORH,V0341,V0341,V0341,V0341,V0341,V0341,V0341,V0341,V0341,9/9_UNANIMOUS,V0341
FLNAMORM,V0342,V0342,V0342,V0342,V0342,V0342,V0342,V0342,V0342,9/9_UNANIMOUS,V0342
FLNAMORT,V3357,V3357,V3357,V3357,V3357,V3357,V3357,V3357,V3357,9/9_UNANIMOUS,V3357
FLNAODOH,V0337,V0337,V0337,V0337,V0337,V0337,V0337,V0337,V0337,9/9_UNANIMOUS,V0337
FLNAODOM,V0338,V0338,V0338,V0338,V0338,V0338,V0338,V0338,V0338,9/9_UNANIMOUS,V0338
FLNAVIVH,V3355,V3355,V3355,V3355,V3355,V3355,V3355,V3355,V3355,9/9_UNANIMOUS,V3355
FLNAVIVM,V3356,V3356,V3356,V3356,V3356,V3356,V3356,V3356,V3356,9/9_UNANIMOUS,V3356
FLNAVIVT,V3354,V3354,V3354,V3354,V3354,V3354,V3354,V3354,V3354,9/9_UNANIMOUS,V3354
FLTIDOSH,V3352,V3352,V3352,V3352,V3352,V3352,V3352,V3352,V3352,9/9_UNANIMOUS,V3352
FLTIDOSM,V3353,V3353,V3353,V3353,V3353,V3353,V3353,V3353,V3353,9/9_UNANIMOUS,V3353
FLTIDOST,V3351,V3351,V3351,V3351,V3351,V3351,V3351,V3351,V3351,9/9_UNANIMOUS,V3351
FLVIVOSH,V3361,V3361,V3361,V3361,V3361,V3361,V3361,V3361,V3361,9/9_UNANIMOUS,V3361
FLVIVOSM,V3362,V3362,V3362,V3362,V3362,V3362,V3362,V3362,V3362,9/9_UNANIMOUS,V3362
FLVIVOST,V3360,V3360,V3360,V3360,V3360,V3360,V3360,V3360,V3360,9/9_UNANIMOUS,V3360
FREEZER,V0225,V0225,V0225,V0225,V0225,V0225,V0225,V0225,V0225,9/9_UNANIMOUS,V0225
GELADEIR,V0222,V0222,V0222,V0222,V0222,V0222,V0222,V0222,V0222,9/9_UNANIMOUS,V0222
HOROUTR,V0355,V0355,V0355,V0355,V0355,V0355,V0355,V0355,V0355,9/9_UNANIMOUS,V0355
HORTRAB,V0354,V0354,V0354,V0354,V0354,V0354,V0354,V0354,V0354,9/9_UNANIMOUS,V0354
IDADEANO,V3072,V3072,V3072,V3072,V3072,V3072,V3072,V3072,V3072,9/9_UNANIMOUS,V3072
IDADEMES,V3073,V3073,V3073,V3073,V3073,V3073,V3073,V3073,V3073,9/9_UNANIMOUS,V3073
IDADETIP,V3071,V3071,V3071,V3071,V3071,V3071,V3071,V3071,V3071,9/9_UNANIMOUS,V3071
ILUMINA,V0221,V0221,V0221,V0221,V0221,V0221,V0221,V0221,V0221,9/9_UNANIMOUS,V0221
LIXO,V0214,V0214,V0214,V0214,V0214,V0214,V0214,V0214,V0214,9/9_UNANIMOUS,V0214
LOCALIZA,V0202,V0202,V0202,V0202,V0202,V0202,V0202,V0202,V0202,9/9_UNANIMOUS,V0202
LOCTRAB,V0352,V0352,V0352,V0352,V0352,V0352,V0352,V0352,V0352,9/9_UNANIMOUS,V0352
MAQLAVAR,V0226,V0226,V0226,V0226,V0226,V0226,V0226,V0226,V0226,9/9_UNANIMOUS,V0226
MESONOM,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),9/9_UNANIMOUS,(empty)
MESONUM,V7001,V7001,V7001,V7001,V7001,V7001,V7001,V7001,V7001,9/9_UNANIMOUS,V7001
METROP,V7003,V7003,V7003,V7003,V7003,V7003,V7003,V7003,V7003,9/9_UNANIMOUS,V7003
MIANMOMU,V0318,V0318,V0318,V0318,V0318,V0318,V0318,V0318,V0318,9/9_UNANIMOUS,V0318
MIANMOUF,V0317,V0317,V0317,V0317,V0317,V0317,V0317,V0317,V0317,9/9_UNANIMOUS,V0317
MIANORES,V3152,V3152,V3152,V3152,V3152,V3152,V3152,V3152,V3152,9/9_UNANIMOUS,V3152
MIANTEMU,V3191,V3191,V3191,V3191,V3191,V3191,V3191,V3191,V3191,9/9_UNANIMOUS,V3191
MIANTEUF,V0319,V0319,V0319,V0319,V0319,V0319,V0319,V0319,V0319,9/9_UNANIMOUS,V0319
MIANTEZN,V0320,V0320,V0320,V0320,V0320,V0320,V0320,V0320,V0320,9/9_UNANIMOUS,V0320
MICRONOM,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),9/9_UNANIMOUS,(empty)
MICRONUM,V7002,V7002,V7002,V7002,V7002,V7002,V7002,V7002,V7002,9/9_UNANIMOUS,V7002
MIMO86MU,V3211,V3211,V3211,V3211,V3211,V3211,V3211,V3211,V3211,9/9_UNANIMOUS,V3211
MIMO86UF,V0321,V0321,V0321,V0321,V0321,V0321,V0321,V0321,V0321,9/9_UNANIMOUS,V0321
MIMO86ZN,V0322,V0322,V0322,V0322,V0322,V0322,V0322,V0322,V0322,9/9_UNANIMOUS,V0322
MIMUMOZN,V0312,V0312,V0312,V0312,V0312,V0312,V0312,V0312,V0312,9/9_UNANIMOUS,V0312
MINACION,V3151,V3151,V3151,V3151,V3151,V3151,V3151,V3151,V3151,9/9_UNANIMOUS,V3151
MINASCMU,V0314,V0314,V0314,V0314,V0314,V0314,V0314,V0314,V0314,9/9_UNANIMOUS,V0314
MIUFPAIS,V0316,V0316,V0316,V0316,V0316,V0316,V0316,V0316,V0316,9/9_UNANIMOUS,V0316
MIULTMUD,V0313,V0313,V0313,V0313,V0313,V0313,V0313,V0313,V0313,9/9_UNANIMOUS,V0313
MUNICNOM,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),9/9_UNANIMOUS,(empty)
MUNICNUM,V1102,V1102,V1102,V1102,V1102,V1102,V1102,V1102,V1102,9/9_UNANIMOUS,V1102
NORDMAE,V3005,V3005,V3005,V3005,V3005,V3005,V3005,V3005,V3005,9/9_UNANIMOUS,V3005
NUMFAM,V0304,V0304,V0304,V0304,V0304,V0304,V0304,V0304,V0304,9/9_UNANIMOUS,V0304
OCUPACAO,V0346,V0346,V0346,V0346,V0346,V0346,V0346,V0346,V0346,9/9_UNANIMOUS,V0346
OCUPAGRP,V3461,V3461,V3461,V3461,V3461,V3461,V3461,V3461,V3461,9/9_UNANIMOUS,V3461
PAREDES,V0203,V0203,V0203,V0203,V0203,V0203,V0203,V0203,V0203,9/9_UNANIMOUS,V0203
PARENDOM,V0302,V0302,V0302,V0302,V0302,V0302,V0302,V0302,V0302,9/9_UNANIMOUS,V0302
PARENFAM,V0303,V0303,V0303,V0303,V0303,V0303,V0303,V0303,V0303,9/9_UNANIMOUS,V0303
PESO,V7300,V7300,V7300,V7300,V7300,V7300,V7300,V7300,V7300,9/9_UNANIMOUS,V7300
PESSOAN,V0098,V0098,V0098,V0098,V0098,V0098,V0098,V0098,V0098,9/9_UNANIMOUS,V0098
POSOCUP,V0349,V0349,V0349,V0349,V0349,V0349,V0349,V0349,V0349,9/9_UNANIMOUS,V0349
RACACOR,V0309,V0309,V0309,V0309,V0309,V0309,V0309,V0309,V0309,9/9_UNANIMOUS,V0309
RADIO,V0220,V0220,V0220,V0220,V0220,V0220,V0220,V0220,V0220,9/9_UNANIMOUS,V0220
RAPOSENF,V3604,V3604,V3604,V3604,V3604,V3604,V3604,V3604,V3604,9/9_UNANIMOUS,V3604
RAPOSENV,V0360,V0360,V0360,V0360,V0360,V0360,V0360,V0360,V0360,9/9_UNANIMOUS,V0360
RDOMICIV,V2012,V2012,V2012,V2012,V2012,V2012,V2012,V2012,V2012,9/9_UNANIMOUS,V2012
RDONOMIF,V2013,V2013,V2013,V2013,V2013,V2013,V2013,V2013,V2013,9/9_UNANIMOUS,V2013
RDOREALF,V2014,V2014,V2014,V2014,V2014,V2014,V2014,V2014,V2014,9/9_UNANIMOUS,V2014
RELIGIAO,V0310,V0310,V0310,V0310,V0310,V0310,V0310,V0310,V0310,9/9_UNANIMOUS,V0310
RFACHCAF,V3044,V3044,V3044,V3044,V3044,V3044,V3044,V3044,V3044,9/9_UNANIMOUS,V3044
RFACHCAV,V3043,V3043,V3043,V3043,V3043,V3043,V3043,V3043,V3043,9/9_UNANIMOUS,V3043
RFAMILIV,V3045,V3045,V3045,V3045,V3045,V3045,V3045,V3045,V3045,9/9_UNANIMOUS,V3045
RFANOMIF,V3046,V3046,V3046,V3046,V3046,V3046,V3046,V3046,V3046,9/9_UNANIMOUS,V3046
RFAPCAPF,V3049,V3049,V3049,V3049,V3049,V3049,V3049,V3049,V3049,9/9_UNANIMOUS,V3049
RFAPCAPV,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),9/9_UNANIMOUS,(empty)
RFAREALF,V3047,V3047,V3047,V3047,V3047,V3047,V3047,V3047,V3047,9/9_UNANIMOUS,V3047
ROUTOCUF,V3574,V3574,V3574,V3574,V3574,V3574,V3574,V3574,V3574,9/9_UNANIMOUS,V3574
ROUTOCUV,V0357,V0357,V0357,V0357,V0357,V0357,V0357,V0357,V0357,9/9_UNANIMOUS,V0357
ROUTRENF,V3614,V3614,V3614,V3614,V3614,V3614,V3614,V3614,V3614,9/9_UNANIMOUS,V3614
ROUTRENV,V0361,V0361,V0361,V0361,V0361,V0361,V0361,V0361,V0361,9/9_UNANIMOUS,V0361
RPRINCIF,V3564,V3564,V3564,V3564,V3564,V3564,V3564,V3564,V3564,9/9_UNANIMOUS,V3564
RPRINCIV,V0356,V0356,V0356,V0356,V0356,V0356,V0356,V0356,V0356,9/9_UNANIMOUS,V0356
RTONOMIF,V3562,V3562,V3562,V3562,V3562,V3562,V3562,V3562,V3562,9/9_UNANIMOUS,V3562
RTOREALF,V3563,V3563,V3563,V3563,V3563,V3563,V3563,V3563,V3563,9/9_UNANIMOUS,V3563
RTOTALPV,V3561,V3561,V3561,V3561,V3561,V3561,V3561,V3561,V3561,9/9_UNANIMOUS,V3561
SANESCOA,V0206,V0206,V0206,V0206,V0206,V0206,V0206,V0206,V0206,9/9_UNANIMOUS,V0206
SANUSO,V0207,V0207,V0207,V0207,V0207,V0207,V0207,V0207,V0207,9/9_UNANIMOUS,V0207
SCATUAL,V3342,V3342,V3342,V3342,V3342,V3342,V3342,V3342,V3342,9/9_UNANIMOUS,V3342
SCDURASC,V3341,V3341,V3341,V3341,V3341,V3341,V3341,V3341,V3341,9/9_UNANIMOUS,V3341
SCID1UNI,V3311,V3311,V3311,V3311,V3311,V3311,V3311,V3311,V3311,9/9_UNANIMOUS,V3311
SCIDISCA,V3312,V3312,V3312,V3312,V3312,V3312,V3312,V3312,V3312,9/9_UNANIMOUS,V3312
SCNAOUNI,V0333,V0333,V0333,V0333,V0333,V0333,V0333,V0333,V0333,9/9_UNANIMOUS,V0333
SCNATUNI,V0332,V0332,V0332,V0332,V0332,V0332,V0332,V0332,V0332,9/9_UNANIMOUS,V0332
SCVIVCON,V0330,V0330,V0330,V0330,V0330,V0330,V0330,V0330,V0330,9/9_UNANIMOUS,V0330
SEXO,V0301,V0301,V0301,V0301,V0301,V0301,V0301,V0301,V0301,9/9_UNANIMOUS,V0301
SITDESO,V0358,V0358,V0358,V0358,V0358,V0358,V0358,V0358,V0358,9/9_UNANIMOUS,V0358
SITSET,V1061,V1061,V1061,V1061,V1061,V1061,V1061,V1061,V1061,9/9_UNANIMOUS,V1061
TELEFONE,V0217,V0217,V0217,V0217,V0217,V0217,V0217,V0217,V0217,9/9_UNANIMOUS,V0217
TRUL12M,V0345,V0345,V0345,V0345,V0345,V0345,V0345,V0345,V0345,9/9_UNANIMOUS,V0345
TVCORES,V0224,V0224,V0224,V0224,V0224,V0224,V0224,V0224,V0224,9/9_UNANIMOUS,V0224
TVPRETO,V0223,V0223,V0223,V0223,V0223,V0223,V0223,V0223,V0223,9/9_UNANIMOUS,V0223
UFNOM,(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),(empty),9/9_UNANIMOUS,(empty)
UFNUM,V1101,V1101,V1101,V1101,V1101,V1101,V1101,V1101,V1101,9/9_UNANIMOUS,V1101
UVIVIDAD,V3443,V3443,V3443,V3443,V3443,V3443,V3443,V3443,V3443,9/9_UNANIMOUS,V3443
UVIVIDTP,V3444,V3444,V3444,V3444,V3444,V3444,V3444,V3444,V3444,9/9_UNANIMOUS,V3444
UVIVSEXO,V0343,V0343,V0343,V0343,V0343,V0343,V0343,V0343,V0343,9/9_UNANIMOUS,V0343
